Emplid,Admit Term Descrshort,Acad Prog.Acad Career,Exp Grad Term Descrshort,Completion Term Descrshort,Acad Prog,Acad Prog Descr,Acad Plan,Acad Plan Descr,Term,Term Descrshort,Stdnt Car Term.Acad Career,Crse ID,Subject,Catalog Nbr
00416306,FA 2025,GINF,WN 2026, ,02003,Information Mas,9445MSI,User Experience Design MSI,2560,FA 2025,GINF,021400,SI,520
00416306,FA 2025,GINF,WN 2026, ,02003,Information Mas,9445MSI,User Experience Design MSI,2560,FA 2025,GINF,039178,SI,539
00416306,FA 2025,GINF,WN 2026, ,02003,Information Mas,9445MSI,User Experience Design MSI,2560,FA 2025,GINF,043210,SI,534
00416306,FA 2025,GINF,WN 2026, ,02003,Information Mas,9445MSI,User Experience Design MSI,2560,FA 2025,GINF,043863,SI,612
00416306,FA 2025,GINF,WN 2026, ,02003,Information Mas,9445MSI,User Experience Design MSI,2570,WN 2026,GINF,022099,SI,658
00416306,FA 2025,GINF,WN 2026, ,02003,Information Mas,9445MSI,User Experience Design MSI,2570,WN 2026,GINF,047901,SI,699
00416306,FA 2025,GINF,WN 2026, ,02003,Information Mas,9445MSI,User Experience Design MSI,2570,WN 2026,GINF,048531,PAT,543
00416306,FA 2025,GINF,WN 2026, ,02003,Information Mas,9445MSI,User Experience Design MSI,2570,WN 2026,GINF,051836,SI,611
00589722,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2560,FA 2025,GINF,017281,SI,588
00589722,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2560,FA 2025,GINF,044772,SI,582
00589722,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2560,FA 2025,GINF,047246,SI,506
00589722,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2560,FA 2025,GINF,051553,SI,500
00589722,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2570,WN 2026,GINF,020401,SI,622
00589722,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2570,WN 2026,GINF,021400,SI,520
00589722,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2570,WN 2026,GINF,045393,SI,552
00589722,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2570,WN 2026,GINF,052256,ENTR,475
00749375,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2560,FA 2025,GINF,017281,SI,588
00749375,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2560,FA 2025,GINF,021400,SI,520
00749375,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2560,FA 2025,GINF,047246,SI,506
00749375,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2560,FA 2025,GINF,051553,SI,500
00749375,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2570,WN 2026,GINF,020401,SI,622
00749375,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2570,WN 2026,GINF,039178,SI,539
00749375,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2570,WN 2026,GINF,044772,SI,582
00749375,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2570,WN 2026,GINF,046306,SI,616
00749375,FA 2025,GINF,WN 2027, ,02003,Information Mas,9445MSI,User Experience Design MSI,2570,WN 2026,GINF,049112,PAT,500
00750361,FA 2025,GINF,WN 2027, ,02003,Information Mas,4865MSI,"Lib, Arch&Knwl Envs in Soc MSI",2560,FA 2025,GINF,021045,SI,666
00750361,FA 2025,GINF,WN 2027, ,02003,Information Mas,4865MSI,"Lib, Arch&Knwl Envs in Soc MSI",2560,FA 2025,GINF,021391,SI,511
00750361,FA 2025,GINF,WN 2027, ,02003,Information Mas,4865MSI,"Lib, Arch&Knwl Envs in Soc MSI",2560,FA 2025,GINF,051553,SI,500
00750361,FA 2025,GINF,WN 2027, ,02003,Information Mas,4865MSI,"Lib, Arch&Knwl Envs in Soc MSI",2570,WN 2026,GINF,009731,SI,580
00750361,FA 2025,GINF,WN 2027, ,02003,Information Mas,4865MSI,"Lib, Arch&Knwl Envs in Soc MSI",2570,WN 2026,GINF,047246,SI,506
00750361,FA 2025,GINF,WN 2027, ,02003,Information Mas,4865MSI,"Lib, Arch&Knwl Envs in Soc MSI",2570,WN 2026,GINF,048280,SI,667
00750361,FA 2025,GINF,WN 2027, ,02003,Information Mas,4865MSI,"Lib, Arch&Knwl Envs in Soc MSI",2570,WN 2026,GINF,050162,SI,510
00907334,FA 2025,GINF,WN 2027, ,02003,Information Mas,9455MSI,User-Centered Agile Dev MSI,2560,FA 2025,GINF,039178,SI,539
00907334,FA 2025,GINF,WN 2027, ,02003,Information Mas,9455MSI,User-Centered Agile Dev MSI,2560,FA 2025,GINF,044772,SI,582
00907334,FA 2025,GINF,WN 2027, ,02003,Information Mas,9455MSI,User-Centered Agile Dev MSI,2560,FA 2025,GINF,050159,SI,579
00907334,FA 2025,GINF,WN 2027, ,02003,Information Mas,9455MSI,User-Centered Agile Dev MSI,2560,FA 2025,GINF,050164,SI,504
00907334,FA 2025,GINF,WN 2027, ,02003,Information Mas,9455MSI,User-Centered Agile Dev MSI,2560,FA 2025,GINF,051553,SI,500
00907334,FA 2025,GINF,WN 2027, ,02003,Information Mas,9455MSI,User-Centered Agile Dev MSI,2570,WN 2026,GINF,020401,SI,622
00907334,FA 2025,GINF,WN 2027, ,02003,Information Mas,9455MSI,User-Centered Agile Dev MSI,2570,WN 2026,GINF,041626,SI,664
00907334,FA 2025,GINF,WN 2027, ,02003,Information Mas,9455MSI,User-Centered Agile Dev MSI,2570,WN 2026,GINF,048129,SI,505
00907334,FA 2025,GINF,WN 2027, ,02003,Information Mas,9455MSI,User-Centered Agile Dev MSI,2570,WN 2026,GINF,050510,CSE,593
00908022,FA 2025,GINF,WN 2027, ,02003,Information Mas,0775MSI,Big Data Analytics MSI,2560,FA 2025,GINF,016607,SI,544
00908022,FA 2025,GINF,WN 2027, ,02003,Information Mas,0775MSI,Big Data Analytics MSI,2560,FA 2025,GINF,047246,SI,506
00908022,FA 2025,GINF,WN 2027, ,02003,Information Mas,0775MSI,Big Data Analytics MSI,2560,FA 2025,GINF,050164,SI,504
00908022,FA 2025,GINF,WN 2027, ,02003,Information Mas,0775MSI,Big Data Analytics MSI,2560,FA 2025,GINF,050916,EAS,529
00908022,FA 2025,GINF,WN 2027, ,02003,Information Mas,0775MSI,Big Data Analytics MSI,2560,FA 2025,GINF,051308,EAS,551
00908022,FA 2025,GINF,WN 2027, ,02003,Information Mas,0775MSI,Big Data Analytics MSI,2560,FA 2025,GINF,051553,SI,500
00908022,FA 2025,GINF,WN 2027, ,02003,Information Mas,0775MSI,Big Data Analytics MSI,2570,WN 2026,GINF,042091,SI,618
