CompletionTermDesc,Emplid,Crse ID,Term Descrshort,Subject,Catalog Nbr,Class Section,Session Descrshort,Crse Component Descrshort,Crse Descr,Unt Earned - Credits,Crse Grade Off - Grade Earned,Course Code,Outside UMSI
Winter 2024,00348486,001459,FA 2023,SI,690,460,Regular,Seminar,Intern/Field Exper,1.00,S,SI 690,No
Winter 2024,00348486,016607,FA 2022,SI,544,001,Regular,Lecture,Intr Stat&Data Analy,3.00,A+,SI 544,No
Winter 2024,00348486,017271,FA 2022,TO,572,001,First 7 Wk,Recitation,App B Frcst I,1.50,A,TO 572,Yes
Winter 2024,00348486,020803,WN 2023,SI,643,001,Regular,Lecture,Instructional Skills,3.00,A+,SI 643,No
Winter 2024,00348486,039178,FA 2023,SI,539,001,Regular,Lecture,Web Design,3.00,A+,SI 539,No
Winter 2024,00348486,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,00348486,041044,WN 2024,ELI,510,001,Regular,Lecture,Acad Rdg&Vocab,2.00,S,ELI 510,Yes
Winter 2024,00348486,041626,FA 2023,SI,664,001,Regular,Lecture,Database App Design,3.00,A,SI 664,No
Winter 2024,00348486,041855,FA 2023,SI,631,001,Regular,Lecture,Agile Softwar Dev,1.50,A+,SI 631,No
Winter 2024,00348486,041934,FA 2023,SI,608,001,Regular,Lecture,Networks,3.00,A+,SI 608,No
Winter 2024,00348486,042091,WN 2023,SI,618,001,Regular,Lecture,Data Man & Analysis,3.00,A+,SI 618,No
Winter 2024,00348486,045930,FA 2023,SI,671,001,Regular,Lecture,Data Mining,3.00,B+,SI 671,No
Winter 2024,00348486,047640,FA 2022,SI,507,001,Regular,Lecture,Inter Programming,3.00,A,SI 507,No
Winter 2024,00348486,047901,WN 2024,SI,699,305,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2024,00348486,048129,FA 2022,SI,505,001,Scnd 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,00348486,048514,FA 2022,WELLNESS,512,002,Regular,Recitation,Yoga Performers,1.00,A+,WELLNESS 512,Yes
Winter 2024,00348486,048514,WN 2023,WELLNESS,512,001,Regular,Recitation,Yoga Performers,1.00,A+,WELLNESS 512,Yes
Winter 2024,00348486,049601,FA 2022,SI,564,001,Regular,Lecture,SQL & Databases,1.50,A,SI 564,No
Winter 2024,00348486,050164,FA 2022,SI,504,001,Regular,Lecture,"Servers, Shell,&Git",1.50,A,SI 504,No
Winter 2024,00348486,050663,WN 2023,SI,568,001,Regular,Lecture,Intro Appld Data Sci,3.00,A+,SI 568,No
Winter 2024,00348486,050983,WN 2023,SI,602,001,Regular,Lecture,Math for ApplDataSci,3.00,B+,SI 602,No
Winter 2024,01044544,017281,FA 2022,SI,588,001,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2024,01044544,020401,WN 2023,SI,622,002,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,01044544,021050,FA 2024,SI,691,093,Regular,Ind Study,Independent Study,3.00,A+,SI 691,No
Winter 2024,01044544,021391,WN 2024,SI,511,151,Regular,Lecture,Special Topics,1.50,S,SI 511,No
Winter 2024,01044544,021400,FA 2022,SI,520,001,Regular,Lecture,Graphic Design,3.00,A,SI 520,No
Winter 2024,01044544,022099,WN 2023,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2024,01044544,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,4.00,S,SI 681,No
Winter 2024,01044544,041855,FA 2023,SI,631,001,Regular,Lecture,Agile Softwar Dev,1.50,C+,SI 631,No
Winter 2024,01044544,042104,FA 2022,SI,501,002,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,01044544,043863,FA 2023,SI,612,002,Regular,Lecture,Pervasv Interact Des,3.00,A,SI 612,No
Winter 2024,01044544,044772,FA 2022,SI,582,003,Regular,Lecture,Intro Interac Design,3.00,A,SI 582,No
Winter 2024,01044544,046306,WN 2023,SI,616,001,Regular,Lecture,Adv Graphic Design,3.00,A-,SI 616,No
Winter 2024,01044544,046386,WN 2023,SI,311,158,Regular,Lecture,Spec Topics in Info,3.00,A+,SI 311,No
Winter 2024,01044544,047901,WN 2024,SI,699,401,Regular,Lecture,MSI Mastery Courses,3.00,A+,SI 699,No
Winter 2024,01044544,048129,FA 2022,SI,505,001,Scnd 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,01044544,048485,FA 2024,ARTDES,420,001,Regular,Laboratory,Sci-Fi Prototyping,3.00,A,ARTDES 420,Yes
Winter 2024,01044544,048486,WN 2024,SI,659,001,Regular,Lecture,AR/VR Advanced,3.00,A,SI 659,No
Winter 2024,01044544,048487,FA 2024,SI,669,001,Regular,Lecture,Dev Mobile Exp,3.00,A-,SI 669,No
Winter 2024,01044544,048488,FA 2023,SI,559,001,Regular,Lecture,AR/VR Intro,3.00,A,SI 559,No
Winter 2024,01044544,050159,FA 2023,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,A-,SI 579,No
Winter 2024,01044544,051454,WN 2024,SI,594,001,Regular,Lecture,Auto UX,3.00,A,SI 594,No
Winter 2024,01416822,003124,FA 2023,EPID,604,110,Regular,Ind Study,Applications of EPID,3.00,A,EPID 604,Yes
Winter 2024,01416822,003124,WN 2024,EPID,604,110,Regular,Ind Study,Applications of EPID,1.00,A,EPID 604,Yes
Winter 2024,01416822,020803,WN 2024,SI,643,001,Regular,Lecture,Instructional Skills,3.00,A+,SI 643,No
Winter 2024,01416822,020934,WN 2023,SI,649,002,Regular,Lecture,Info Visualization,3.00,A,SI 649,No
Winter 2024,01416822,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,01416822,044825,FA 2023,EPID,530,003,Regular,Lecture,Public Health Comm,1.00,A+,EPID 530,Yes
Winter 2024,01416822,045930,FA 2023,SI,671,001,Regular,Lecture,Data Mining,3.00,B+,SI 671,No
Winter 2024,01416822,046389,FA 2023,EPID,603,001,Regular,Seminar,Prof Development,1.00,S,EPID 603,Yes
Winter 2024,01416822,047637,WN 2023,LHS,712,001,Regular,Lecture,NLP on Health Data,3.00,B+,LHS 712,Yes
Winter 2024,01416822,047901,WN 2024,SI,699,305,Regular,Lecture,MSI Mastery Courses,3.00,B+,SI 699,No
Winter 2024,01416822,048585,WN 2024,PUBHLTH,511,001,Regular,Lecture,Nutr Pub Health,2.00,A,PUBHLTH 511,Yes
Winter 2024,01416822,048940,WN 2024,PUBHLTH,513,001,Regular,Lecture,PUBHLTH Sys Pol Mgt,3.00,A,PUBHLTH 513,Yes
Winter 2024,01416822,049551,WN 2023,PUBHLTH,514,001,Regular,Lecture,Pub Hlth Sci Environ,2.00,A,PUBHLTH 514,Yes
Winter 2024,01416822,050663,WN 2023,SI,568,001,Regular,Lecture,Intro Appld Data Sci,3.00,A+,SI 568,No
Winter 2024,01416822,050983,WN 2023,SI,602,001,Regular,Lecture,Math for ApplDataSci,3.00,W,SI 602,No
Winter 2024,01497390,017281,FA 2022,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2024,01497390,017530,WN 2023,TO,616,001,Scnd 7 Wk,Recitation,Project Mngmt,1.50,A-,TO 616,Yes
Winter 2024,01497390,020401,WN 2023,SI,622,001,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,01497390,021391,WN 2024,SI,511,151,Regular,Lecture,Special Topics,1.50,A,SI 511,No
Winter 2024,01497390,039178,WN 2023,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2024,01497390,039340,WN 2024,MIDEAST,427,001,Regular,Seminar,Rumi Times & Poetry,3.00,VI,MIDEAST 427,Yes
Winter 2024,01497390,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,3.00,S,SI 681,No
Winter 2024,01497390,041626,FA 2023,SI,664,001,Regular,Lecture,Database App Design,3.00,A,SI 664,No
Winter 2024,01497390,042104,FA 2022,SI,501,002,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,01497390,043241,FA 2023,SI,657,001,Regular,Lecture,Info Tech and Inter,3.00,A,SI 657,No
Winter 2024,01497390,043366,WN 2024,SI,617,001,Regular,Lecture,Choice Architecture,3.00,A,SI 617,No
Winter 2024,01497390,044772,FA 2022,SI,582,001,Regular,Lecture,Intro Interac Design,3.00,A,SI 582,No
Winter 2024,01497390,047246,FA 2022,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2024,01497390,047489,WN 2024,MIDEAST,434,001,Regular,Seminar,Shahnameh,3.00,W,MIDEAST 434,Yes
Winter 2024,01497390,047849,WN 2023,ARTSADMN,533,001,Regular,Lecture,Media Tech Careers,1.00,A,ARTSADMN 533,Yes
Winter 2024,01497390,047901,WN 2024,SI,699,003,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2024,01497390,048129,FA 2022,SI,505,001,Scnd 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,01497390,048488,FA 2023,SI,559,003,Regular,Lecture,AR/VR Intro,3.00,W,SI 559,No
Winter 2024,01497390,049027,WN 2024,ACC,651,001,First 7 Wk,Recitation,Foundations of Tech,0.50,A-,ACC 651,Yes
Winter 2024,01497390,049601,WN 2023,SI,564,001,Regular,Lecture,SQL & Databases,1.50,A,SI 564,No
Winter 2024,01497390,050159,WN 2023,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,W,SI 579,No
Winter 2024,01497390,050159,FA 2023,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,B+,SI 579,No
Winter 2024,01497390,050162,WN 2024,SI,510,001,Regular,Lecture,Information Ethics,3.00,A,SI 510,No
Winter 2024,01497390,050164,WN 2023,SI,504,001,Regular,Lecture,"Servers, Shell,&Git",1.50,A-,SI 504,No
Winter 2024,01814680,017281,FA 2022,SI,588,001,Regular,Lecture,Fundamntls Hum Beh,3.00,A-,SI 588,No
Winter 2024,01814680,020401,WN 2023,SI,622,001,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,01814680,021400,WN 2023,SI,520,002,Regular,Laboratory,Graphic Design,3.00,B+,SI 520,No
Winter 2024,01814680,039178,WN 2023,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2024,01814680,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,01814680,042104,FA 2022,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,01814680,044772,FA 2022,SI,582,003,Regular,Lecture,Intro Interac Design,3.00,A-,SI 582,No
Winter 2024,01814680,045771,FA 2023,SI,684,001,Regular,Seminar,Design ConsHlth Tech,3.00,A,SI 684,No
Winter 2024,01814680,046306,FA 2023,SI,616,001,Regular,Lecture,Adv Graphic Design,3.00,B+,SI 616,No
Winter 2024,01814680,047246,FA 2022,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2024,01814680,047901,WN 2024,SI,699,601,Regular,Lecture,MSI Mastery Courses,3.00,A+,SI 699,No
Winter 2024,01814680,048129,WN 2023,SI,505,001,First 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,01814680,048488,WN 2024,SI,559,001,Regular,Lecture,AR/VR Intro,3.00,A-,SI 559,No
Winter 2024,01814680,050159,FA 2023,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,C,SI 579,No
Winter 2024,01814680,050164,WN 2023,SI,504,001,Regular,Lecture,"Servers, Shell,&Git",1.50,A-,SI 504,No
Winter 2024,01814680,051454,WN 2024,SI,594,001,Regular,Lecture,Auto UX,3.00,B+,SI 594,No
